symbol,company_name,exchange,sector,industry,market_cap,price,pe_ratio,pb_ratio
NVDA,NVIDIA CORP,Nasdaq,Technology,Semiconductors,4.5311E+12,186.105,46.065594,38.04272
GOOGL,Alphabet Inc.,Nasdaq,Communication Services,Internet Content & Information,3.997E+12,330,32.576504,10.301876
AAPL,Apple Inc.,Nasdaq,Technology,Consumer Electronics,3.77561E+12,255.517,34.25161,51.19555
MSFT,MICROSOFT CORP,Nasdaq,Technology,Software - Infrastructure,3.41822E+12,459.86,32.683723,9.415643
AMZN,AMAZON COM INC,Nasdaq,Consumer Cyclical,Internet Retail,2.55624E+12,239.12,33.77401,6.91358
META,"Meta Platforms, Inc.",Nasdaq,Communication Services,Internet Content & Information,1.56336E+12,620.25,27.469,8.057287
AVGO,Broadcom Inc.,Nasdaq,Technology,Semiconductors,1.66755E+12,351.71,73.57949,5.9389405
TSLA,"Tesla, Inc.",Nasdaq,Consumer Cyclical,Auto Manufacturers,1.45511E+12,437.52,303.8333,18.18605
BRK-B,BERKSHIRE HATHAWAY INC,NYSE,Financial Services,Insurance - Diversified,1.06419E+12,493.29,15.775184,0.001016518
LLY,ELI LILLY & Co,NYSE,Healthcare,Drug Manufacturers - General,9.30881E+11,1038.4,50.752693,39.096386
WMT,Walmart Inc.,Nasdaq,Consumer Defensive,Discount Stores,9.5435E+11,119.7,41.853146,9.930313
JPM,JPMORGAN CHASE & CO,NYSE,Financial Services,Banks - Diversified,8.50625E+11,312.47,15.6001,2.4605682
V,VISA INC.,NYSE,Financial Services,Credit Services,6.33585E+11,328.3,32.15475,16.938396
SPY,SPDR S&P 500 ETF TRUST,NYSE,,,6.34793E+11,691.66,28.0034,1.6114346
ORCL,ORACLE CORP,NYSE,Technology,Software - Infrastructure,5.49026E+11,191.09,35.986816,18.329975
XOM,EXXON MOBIL CORP,NYSE,Energy,Oil & Gas Integrated,5.53753E+11,129.89,18.87936,2.1022563
MA,Mastercard Inc,NYSE,Financial Services,Credit Services,4.87705E+11,539.49,34.472206,61.43833
ASML,ASML HOLDING NV,Nasdaq,Technology,Semiconductor Equipment & Materials,5.27402E+11,1358.766,48.320267,23.874826
JNJ,JOHNSON & JOHNSON,NYSE,Healthcare,Drug Manufacturers - General,5.26816E+11,218.66,21.147001,6.63672
PLTR,Palantir Technologies Inc.,Nasdaq,Technology,Software - Infrastructure,4.07496E+11,170.97,397.60464,61.833633
BAC,BANK OF AMERICA CORP /DE/,NYSE,Financial Services,Banks - Diversified,3.86813E+11,52.97,13.902887,1.3779558
COST,COSTCO WHOLESALE CORP /NEW,Nasdaq,Consumer Defensive,Discount Stores,4.27802E+11,963.61,51.557514,14.116345
ABBV,AbbVie Inc.,NYSE,Healthcare,Drug Manufacturers - General,3.78839E+11,214.35,161.16542,-143.37793
MU,MICRON TECHNOLOGY INC,Nasdaq,Technology,Semiconductors,4.08278E+11,362.75,34.481937,6.945774
NFLX,NETFLIX INC,Nasdaq,Communication Services,Entertainment,3.72884E+11,88,36.820084,14.367347
HD,"HOME DEPOT, INC.",NYSE,Consumer Cyclical,Home Improvement Retail,3.78464E+11,380.17,25.914793,31.220335
BABA,Alibaba Group Holding Ltd,NYSE,Consumer Cyclical,Internet Retail,3.94863E+11,165.4,22.023966,2.5891416
GE,GENERAL ELECTRIC CO,NYSE,Industrials,Aerospace & Defense,3.4477E+11,325.12,43.46524,18.230347
PG,PROCTER & GAMBLE Co,NYSE,Consumer Defensive,Household & Personal Products,3.3827E+11,144.53,21.09927,6.432991
AMD,ADVANCED MICRO DEVICES INC,Nasdaq,Technology,Semiconductors,3.77429E+11,231.83,122.01579,6.2086234
CVX,CHEVRON CORP,NYSE,Energy,Oil & Gas Integrated,3.34984E+11,166.26,23.351124,1.7633957
UNH,UNITEDHEALTH GROUP INC,NYSE,Healthcare,Healthcare Plans,2.99851E+11,331.02,17.240623,3.1309528
WFC,WELLS FARGO & COMPANY/MN,NYSE,Financial Services,Banks - Diversified,2.77432E+11,88.38,14.11821,1.6614655
KO,COCA COLA CO,NYSE,Consumer Defensive,Beverages - Non-Alcoholic,3.0315E+11,70.44,23.324505,9.698472
MS,MORGAN STANLEY,NYSE,Financial Services,Capital Markets,3.00523E+11,189.09,18.520079,3.0022385
AZN,ASTRAZENECA PLC,Nasdaq,Healthcare,Drug Manufacturers - General,2.92777E+11,94.427,31.371098,3.1916108
CYATY,"Contemporary Amperex Technology Co., Limited/ADR",OTC,Industrials,Electrical Equipment & Parts,2.82226E+11,15.46,29.73077,1.5541867
